SBLnr,SBLlength,titel,Fodd,Dod,Band,Year
7073,30718,Jöns Pehrsson,"Född:1825-09-23 – Osby församling, Kristianstads län","Död:1882-08-09 – Hallaryds församling, Kronobergs län","Band 29 (1995-1997), sida 12.",1995-1997
7074,27626,Knut Pehrsson,"Född:1748-08-17 – Mjällby församling, Blekinge län","Död:1831-05-20 – Helsingborgs landsförsamling, Skåne län","Band 29 (1995-1997), sida 14.",1995-1997
7076,29264,Matts Pehrsson,"Född:1796-06-02 – Vätö församling, Stockholms län","Död:1869-01-09 – Vätö församling, Stockholms län","Band 29 (1995-1997), sida 16.",1995-1997
7077,28761,Per Pehrsson,"Född:1853-12-20 – Flackarps församling, Skåne län","Död:1950-05-07 – Burlövs församling, Skåne län","Band 29 (1995-1997), sida 17.",1995-1997
7078,55552,Petrus (Per) Pehrsson,"Född:1867-09-30 – Valbo församling, Gävleborgs län","Död:1953-02-21 – Göteborgs Annedals församling, Västra Götalands län","Band 29 (1995-1997), sida 19.",1995-1997
7079,53692,Axel A Pehrsson-Bramstorp,"Född:1883-08-19 – Öja församling (M-län), Skåne län","Död:1954-02-19 – Trelleborgs församling, Skåne län (enl db för Lilla Isie,Malm.)","Band 29 (1995-1997), sida 22.",1995-1997
7081,28684, Per Eriksson (Wast),"Född: – Tuna församling (C-län), Uppsala län (trol i Tuna)","Död:1680-10-14 – Tuna församling (C-län), Uppsala län","Band 29 (1995-1997), sida 26.",1995-1997
7082,29803,C Arthur Percy,"Född:1886-08-10 – Vickleby församling, Kalmar län","Död:1976-06-22 – Vickleby församling, Kalmar län","Band 29 (1995-1997), sida 28.",1995-1997
7084,78137,Moses Pergament,"Född:1893-09-21 – Finland (i Helsingfors, Mosaiska)","Död:1977-03-05 – Gustavsbergs församling, Stockholms län","Band 29 (1995-1997), sida 29.",1995-1997
7086,79704,Johan Peringskiöld,"Född:1654-10-06 – Strängnäs stadsförsamling, Södermanlands län","Död:1720-03-24 – Nikolai församling, Stockholms län","Band 29 (1995-1997), sida 34.",1995-1997
7089,38743,Einar G S Perman,"Född:1893-10-06 – Jakobs församling, Stockholms län","Död:1976-08-12 – Engelbrekts församling, Stockholms län","Band 29 (1995-1997), sida 41.",1995-1997
7092,22019,Samuel Perman,"Född:1760-04-06 – Vänersborgs församling, Älvsborgs län","Död:1839-09-16 – Östersunds församling, Jämtlands län","Band 29 (1995-1997), sida 40.",1995-1997
7094,69172,Nils J Perne,"Född:1905-05-04 – Uppsala domkyrkoförsamling, Uppsala län","Död:1965-12-27 – Kungsholm eller Ulrika Eleonora, Stockholms län","Band 29 (1995-1997), sida 43.",1995-1997
